,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
2093,West Bengal,36,Paschim Barddhaman,17,2019,0,0,0,1,0,0,100.0,30750,98.3,23.5,95.5,121.9,75.7,124.3,34185,698,21,45121,68.29,22.7,250,173,59,27,1,1,261,114966,0
2094,West Bengal,36,Paschim Medinipur,18,2017,0,1,0,0,0,0,97.5,64474,98.8,16.7,95.2,107.8,64.4,108.5,0,1184,35,75923,54.29,18.36,83,639,69,23,3,4,738,93710,1
2095,West Bengal,36,Paschim Medinipur,18,2018,0,0,1,0,0,0,99.3,59247,98.8,19.3,93.3,107.9,63.2,117.6,53108,1103,47,75746,79.33,18.62,119,639,69,22,3,4,737,109491,1
2096,West Bengal,36,Paschim Medinipur,18,2019,0,0,0,1,0,0,99.9,51096,98.5,23.1,104.5,117.1,78.6,135.7,66506,957,32,74188,62.63,18.73,250,639,69,22,3,4,737,114966,0
2097,West Bengal,36,Purba Barddhaman,19,2017,0,1,0,0,0,0,99.9,79814,98.3,19.7,76.5,87.9,62.6,92.3,92,1797,87,79512,109.0,22.51,83,592,83,28,2,1,706,93710,1
2098,West Bengal,36,Purba Barddhaman,19,2018,0,0,1,0,0,0,99.9,72668,98.5,20.1,84.0,92.6,68.3,99.3,58462,1933,71,79870,97.7,26.6,119,592,83,28,2,1,706,109491,1
2099,West Bengal,36,Purba Barddhaman,19,2019,0,0,0,1,0,0,99.9,60443,98.5,22.2,92.9,101.1,82.1,112.5,65645,1819,51,69818,84.38,30.09,250,592,83,28,2,1,706,114966,0
2100,West Bengal,36,Purba Medinipur,20,2017,0,1,0,0,0,0,94.5,76598,99.2,17.2,85.2,103.7,61.0,99.7,3,862,23,85399,30.03,11.25,83,706,59,26,8,3,802,93710,1
2101,West Bengal,36,Purba Medinipur,20,2018,0,0,1,0,0,0,97.6,77923,99.2,18.9,84.9,100.5,59.4,99.2,64953,785,25,86796,32.08,10.07,119,706,59,26,8,3,802,109491,1
2102,West Bengal,36,Purba Medinipur,20,2019,0,0,0,1,0,0,98.9,70975,99.1,20.4,85.6,101.7,67.7,107.5,75662,644,28,84677,39.45,9.07,250,706,59,26,8,3,802,114966,0
2103,West Bengal,36,Puruliya,21,2017,0,1,0,0,0,0,95.4,48623,98.1,35.9,90.4,99.9,85.4,105.7,68,972,31,58172,63.76,19.99,83,488,55,21,1,1,566,93710,1
2104,West Bengal,36,Puruliya,21,2018,0,0,1,0,0,0,97.2,49187,98.0,27.8,91.3,99.5,87.6,108.2,42656,776,49,60767,99.62,15.78,119,488,55,21,1,1,566,109491,1
2105,West Bengal,36,Puruliya,21,2019,0,0,0,1,0,0,98.2,44646,98.3,26.7,93.0,99.5,89.3,116.1,48605,820,24,56336,53.76,18.37,250,488,55,21,1,1,566,114966,0
2106,West Bengal,36,South Twenty Four Parganas,22,2017,0,1,0,0,0,0,93.7,115599,98.8,11.9,85.0,107.6,70.8,121.4,0,1374,79,154018,68.34,11.89,83,1068,79,42,7,2,1198,93710,1
2107,West Bengal,36,South Twenty Four Parganas,22,2018,0,0,1,0,0,0,99.1,120215,98.9,14.4,86.2,105.2,73.5,117.5,116897,1167,72,156271,59.89,9.71,119,1068,79,42,7,2,1198,109491,1
2108,West Bengal,36,South Twenty Four Parganas,22,2019,0,0,0,1,0,0,99.2,111257,98.9,14.9,87.7,106.5,75.7,128.7,141650,951,59,152576,53.03,8.55,250,1068,79,42,7,2,1198,114966,0
2109,West Bengal,36,Uttar Dinajpur,23,2017,0,1,0,0,0,0,79.5,57879,97.8,14.3,82.2,107.9,63.1,114.1,0,1070,40,72059,69.11,18.49,83,344,24,12,2,1,383,93710,1
2110,West Bengal,36,Uttar Dinajpur,23,2018,0,0,1,0,0,0,90.4,56541,97.9,17.6,82.6,103.2,66.0,116.1,54597,1068,28,75542,49.52,18.89,119,344,24,12,2,1,383,109491,1
2111,West Bengal,36,Uttar Dinajpur,23,2019,0,0,0,1,0,0,92.5,53682,97.6,17.8,88.8,111.2,73.9,123.8,64703,1018,45,74155,83.83,18.96,250,344,24,12,2,1,383,114966,0
